fdate,doubleq,avgRET
31dec2001,7,.48926002
31dec2001,8,.24091496
31dec2001,9,.19169083
31dec2001,10,.17543888
31dec2001,11,.54452306
31dec2001,12,.38686359
31dec2001,13,.21406287
31dec2001,14,.16791521
31dec2001,15,.18499805
31dec2001,16,.54337704
31dec2001,17,.34018344
31dec2001,18,.25487626
31dec2001,19,.14511007
31dec2001,20,.16284534
31dec2001,21,.15668496
31dec2001,22,.14344272
31dec2001,23,.068977632
31dec2001,24,.10510124
31dec2001,25,.12960057
31mar2002,1,.10085631
31mar2002,2,.14356554
31mar2002,3,.11096668
31mar2002,4,.053775951
31mar2002,5,.090345107
31mar2002,6,.13783015
31mar2002,7,.12152316
31mar2002,8,.085014082
31mar2002,9,.061567355
31mar2002,10,.056623772
31mar2002,11,.098375864
31mar2002,12,.066215359
31mar2002,13,.090719186
31mar2002,14,.058316678
31mar2002,15,.097437635
31mar2002,16,.086571217
31mar2002,17,.088964246
31mar2002,18,.10361236
31mar2002,19,.065415375
31mar2002,20,.086602099
31mar2002,21,.049603343
31mar2002,22,.078358009
31mar2002,23,.046909258
31mar2002,24,.036133248
31mar2002,25,.031961802
30jun2002,1,.006224087
30jun2002,2,-.06950736
30jun2002,3,-.0044337125
30jun2002,4,-.00092836627
30jun2002,5,-.027111735
30jun2002,6,-.062685348
30jun2002,7,.014124281
30jun2002,8,.022703001
30jun2002,9,-.027488677
30jun2002,10,-.044382341
30jun2002,11,-.043619554
30jun2002,12,.021494007
30jun2002,13,-.0006849278
30jun2002,14,-.012215089
30jun2002,15,-.054081492
30jun2002,16,-.05787896
30jun2002,17,-.059958115
30jun2002,18,-.021921853
30jun2002,19,-.062238526
30jun2002,20,-.098575003
30jun2002,21,-.053721905
30jun2002,22,-.08373145
30jun2002,23,-.06416899
30jun2002,24,-.046287727
30jun2002,25,-.036170527
30sep2002,1,-.12530839
30sep2002,2,-.1119285
30sep2002,3,-.087533638
30sep2002,4,-.14344889
30sep2002,5,-.20087597
30sep2002,6,-.1078668
30sep2002,7,-.11181635
30sep2002,8,-.13085279
30sep2002,9,-.18468469
30sep2002,10,-.27531832
30sep2002,11,-.11169857
30sep2002,12,-.17338717
30sep2002,13,-.22158007
30sep2002,14,-.23967791
30sep2002,15,-.29551822
30sep2002,16,-.046905756
30sep2002,17,-.12306423
30sep2002,18,-.16487157
30sep2002,19,-.22794624
30sep2002,20,-.26257911
30sep2002,21,-.11890658
30sep2002,22,-.1800172
30sep2002,23,-.2158404
30sep2002,24,-.2224991
30sep2002,25,-.22063681
31dec2002,1,.17733189
31dec2002,2,.13362049
31dec2002,3,.13677761
31dec2002,4,.14258057
31dec2002,5,.061085224
31dec2002,6,.29917482
31dec2002,7,.14107303
31dec2002,8,.13545644
31dec2002,9,.14184619
31dec2002,10,.094142824
31dec2002,11,.31743804
31dec2002,12,.10557872
31dec2002,13,.11766404
31dec2002,14,.098833725
31dec2002,15,-.015131838
31dec2002,16,.16403209
31dec2002,17,.11923689
31dec2002,18,.092442878
31dec2002,19,.077906914
31dec2002,20,.069491863
31dec2002,21,.092204876
31dec2002,22,.086822331
31dec2002,23,.15108104
31dec2002,24,.1283793
31dec2002,25,.051866502
31mar2003,1,.13983056
31mar2003,2,.12221713
31mar2003,3,.051094748
31mar2003,4,.018015632
31mar2003,5,-.045376789
31mar2003,6,.030455844
31mar2003,7,.029978026
31mar2003,8,.019106835
31mar2003,9,.020131594
31mar2003,10,-.082513161
31mar2003,11,.09081056
31mar2003,12,-.0094063357
31mar2003,13,-.038136281
31mar2003,14,-.078009397
31mar2003,15,-.098258503
31mar2003,16,.049600359
31mar2003,17,-.0042836075
31mar2003,18,-.054978397
31mar2003,19,-.035903156
31mar2003,20,-.10606302
31mar2003,21,.00095767766
31mar2003,22,-.031742752
31mar2003,23,-.030727196
31mar2003,24,-.068400733
31mar2003,25,-.0075581013
30jun2003,1,.3220343
30jun2003,2,.29980296
30jun2003,3,.29436183
30jun2003,4,.26010856
30jun2003,5,.24722351
30jun2003,6,.69596958
30jun2003,7,.34398124
30jun2003,8,.2442603
30jun2003,9,.18643376
30jun2003,10,.26393691
30jun2003,11,.60488367
30jun2003,12,.37988532
30jun2003,13,.23629522
30jun2003,14,.26353192
30jun2003,15,.27626485
30jun2003,16,.38711035
30jun2003,17,.24992576
30jun2003,18,.22703345
30jun2003,19,.20219518
30jun2003,20,.26658276
30jun2003,21,.22084783
30jun2003,22,.20279101
30jun2003,23,.1797533
30jun2003,24,.26463857
30jun2003,25,.1787909
30sep2003,1,.3079367
30sep2003,2,.18114576
30sep2003,3,.21314846
30sep2003,4,.12313958
30sep2003,5,.13376951
30sep2003,6,.30693853
30sep2003,7,.26774192
30sep2003,8,.12832189
30sep2003,9,.12402572
30sep2003,10,.13977885
30sep2003,11,.26385635
30sep2003,12,.18595757
30sep2003,13,.13034816
30sep2003,14,.061995219
30sep2003,15,.10228589
30sep2003,16,.20871781
30sep2003,17,.13874017
30sep2003,18,.095766686
30sep2003,19,.063406654
30sep2003,20,.083934933
30sep2003,21,.11775166
30sep2003,22,.045659311
30sep2003,23,.041239817
30sep2003,24,.040002961
30sep2003,25,.037664674
31dec2003,1,.20936443
31dec2003,2,.17769596
31dec2003,3,.17290512
31dec2003,4,.14673389
31dec2003,5,.12707657
31dec2003,6,.30975407
31dec2003,7,.26731661
31dec2003,8,.16406555
31dec2003,9,.13381854
31dec2003,10,.15959175
31dec2003,11,.28163254
31dec2003,12,.22656099
31dec2003,13,.1407956
31dec2003,14,.13897702
31dec2003,15,.16390142
31dec2003,16,.18627343
31dec2003,17,.16732191
31dec2003,18,.15568884
31dec2003,19,.1401176
31dec2003,20,.16867822
31dec2003,21,.21876331
31dec2003,22,.15830891
31dec2003,23,.162357
31dec2003,24,.17827851
31dec2003,25,.16561711
31mar2004,1,.28843597
31mar2004,2,.1882436
31mar2004,3,.10190237
31mar2004,4,.078114383
31mar2004,5,.060014166
