date,mgrsizeq,avgRET
30/06/2012,4,-.032652497
30/06/2012,5,-.032382414
30/06/2012,6,-.032035615
30/06/2012,7,-.032270961
30/06/2012,8,-.032186039
30/06/2012,9,-.032095592
30/06/2012,10,-.032199163
30/09/2012,1,.070517942
30/09/2012,2,.070474349
30/09/2012,3,.070360623
30/09/2012,4,.0706257
30/09/2012,5,.070445016
30/09/2012,6,.07050544
30/09/2012,7,.070569873
30/09/2012,8,.070332997
30/09/2012,9,.069897234
30/09/2012,10,.070745364
31/12/2012,1,.030050503
31/12/2012,2,.029070044
31/12/2012,3,.0287822
31/12/2012,4,.0294249
31/12/2012,5,.029769909
31/12/2012,6,.029043915
31/12/2012,7,.028984591
31/12/2012,8,.028265622
31/12/2012,9,.028062211
31/12/2012,10,.029144144
31/03/2013,1,.095490955
31/03/2013,2,.095192179
31/03/2013,3,.095133275
31/03/2013,4,.095446751
31/03/2013,5,.095550127
31/03/2013,6,.09525837
31/03/2013,7,.09542419
31/03/2013,8,.095934913
31/03/2013,9,.096213706
31/03/2013,10,.095165983
30/06/2013,1,.022976527
30/06/2013,2,.023481473
30/06/2013,3,.023438102
30/06/2013,4,.023274893
30/06/2013,5,.022986405
30/06/2013,6,.023106579
30/06/2013,7,.023230113
30/06/2013,8,.02352871
30/06/2013,9,.022548188
30/06/2013,10,.023368334
30/09/2013,1,.085802943
30/09/2013,2,.085476749
30/09/2013,3,.085237168
30/09/2013,4,.085326001
30/09/2013,5,.085403956
30/09/2013,6,.085407548
30/09/2013,7,.08493039
30/09/2013,8,.084806278
30/09/2013,9,.084228434
30/09/2013,10,.085330456
31/12/2013,1,.095632814
31/12/2013,2,.095785886
31/12/2013,3,.096262664
31/12/2013,4,.096023619
31/12/2013,5,.095381446
31/12/2013,6,.095878974
31/12/2013,7,.095786542
31/12/2013,8,.09646409
31/12/2013,9,.09667661
31/12/2013,10,.096476577
31/03/2014,1,.023048285
31/03/2014,2,.023188405
31/03/2014,3,.022976061
31/03/2014,4,.023132982
31/03/2014,5,.022945778
31/03/2014,6,.022976514
31/03/2014,7,.023196068
31/03/2014,8,.02328269
31/03/2014,9,.022888133
31/03/2014,10,.022942718
30/06/2014,1,.057127733
30/06/2014,2,.057593949
30/06/2014,3,.057422016
30/06/2014,4,.05762193
30/06/2014,5,.05744832
30/06/2014,6,.057471778
30/06/2014,7,.057568159
30/06/2014,8,.057783842
30/06/2014,9,.057743311
30/06/2014,10,.057662293
30/09/2014,1,.0051439409
30/09/2014,2,.0053792805
30/09/2014,3,.0054314728
30/09/2014,4,.0054230215
30/09/2014,5,.0053482465
30/09/2014,6,.005387018
30/09/2014,7,.0053917374
30/09/2014,8,.0054659415
30/09/2014,9,.0068770945
30/09/2014,10,.0058061359
31/12/2014,1,.039833639
31/12/2014,2,.039851055
31/12/2014,3,.040295262
31/12/2014,4,.039922204
31/12/2014,5,.040399551
31/12/2014,6,.040232662
31/12/2014,7,.039915036
31/12/2014,8,.040936165
31/12/2014,9,.042727932
31/12/2014,10,.041128766
31/03/2015,1,.028774891
31/03/2015,2,.028665965
31/03/2015,3,.02875684
31/03/2015,4,.028703498
31/03/2015,5,.028876595
31/03/2015,6,.028923409
