date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,char
1996-05-01,0.0623300473,0.0307885675,0.0170376666,0.0133394236,0.0271921924,0.0262652904,0.0337513171,0.0177053708,0.0234702573,0.0364232538,1
1996-06-01,-0.065716498,-0.003364294,0.0044749574,0.0036065414,0.0051143808,0.0007769602,-0.01247802,-0.000563838,-0.011259058,-0.063573811,1
1996-07-01,-0.074181638,-0.056406796,-0.047030958,-0.032047662,-0.04603541,-0.035295154,-0.06309933,-0.059504985,-0.07780523,-0.123274542,1
1996-08-01,0.0368621405,0.0162530764,0.0234492145,0.029288396,0.0328145536,0.0232546519,0.034721153,0.0244767046,0.0488791627,0.0863225075,1
1996-09-01,0.053339412,0.0421988791,0.0391722336,0.0642959449,0.0433578021,0.0604770769,0.063896561,0.0691467233,0.0515280074,0.0434219147,1
1996-10-01,-0.008542979,0.0223607838,0.0220575145,0.0249052273,0.0182037192,0.0281568272,-0.005836273,0.016080717,-0.000793338,-0.037720628,1
1996-11-01,0.0663377576,0.0661952778,0.0641383696,0.0852129859,0.0601857917,0.0402553774,0.066115394,0.0611775074,0.0915097313,0.0593035509,1
1996-12-01,-0.014043502,-0.002872197,-0.030768386,-0.021037036,-0.017901181,-0.006879707,-0.001834497,-0.001812178,0.0011916955,-0.001484076,1
1997-01-01,-0.014216915,0.0404643853,0.0735783129,0.065056654,0.0372510883,0.0500023732,0.0375036635,0.0665239086,0.0668909083,0.0593319765,1
1997-02-01,-0.039656889,-0.011178015,0.0046512923,0.0226515289,0.0174766029,0.0021629306,0.0175976861,0.0156551975,0.0016878853,-0.042834494,1
1997-03-01,-0.069567806,-0.051860638,-0.056528552,-0.048737722,-0.050967943,-0.039418757,-0.020697821,-0.028413565,-0.044767454,-0.045330766,1
1997-04-01,0.0114503438,0.0193524614,0.0129510278,0.0131290925,0.0561059657,0.0541295757,0.0697181911,0.0818388093,0.0479122181,0.0210669504,1
1997-05-01,0.0562637178,0.0766550598,0.0584623517,0.0688639255,0.0603840242,0.0693420626,0.0587247162,0.0761905858,0.1238232447,0.1490997963,1
1997-06-01,0.0197364313,0.0423094195,0.0461373091,0.0398947464,0.0469975985,0.062462215,0.0470927664,0.0534383335,0.0467573758,0.0281059541,1
1997-07-01,0.0312624424,0.0643966539,0.0702707062,0.0539506586,0.0934816704,0.0759202317,0.0835012424,0.0717472692,0.0894637818,0.146775422,1
1997-08-01,-0.006648185,-0.042744161,-0.045502596,-0.055260309,-0.030413522,-0.032463493,-0.063496455,-0.036277881,-0.020013519,0.0087874426,1
1997-09-01,0.0664071597,0.0535962616,0.0530637417,0.0579473802,0.0593220798,0.0472377575,0.0474895216,0.05660577,0.0594952587,0.0649498801,1
1997-10-01,-0.07269429,-0.010783433,-0.029216768,-0.008476331,-0.029912623,-0.026125526,-0.040513069,-0.059412114,-0.041769268,-0.057611185,1
1997-11-01,0.0269187272,0.0399083399,0.0462308992,0.0428223236,0.0369018366,0.0318113104,0.0544351213,0.0374341688,0.0214318928,-0.011449821,1
1997-12-01,0.0193302916,0.0282539773,0.0304807151,0.0383386983,0.0229550519,0.0031001548,0.0159729219,0.0235544398,-0.022105892,-0.040277806,1
1998-01-01,-0.042323625,0.0035066724,-0.015422184,-0.0221795,0.009029778,0.0100993799,0.0220571329,0.0089446554,0.0634768955,0.0410580597,1
1998-02-01,0.0894994092,0.0576709967,0.0490277996,0.0737471638,0.096222969,0.0698974943,0.0782630647,0.0777350855,0.0818204306,0.0948544816,1
1998-03-01,0.0419217399,0.0517146417,0.0500156393,0.0308763667,0.05530567,0.0383725507,0.0555605197,0.066975804,0.0631747065,0.0888299909,1
1998-04-01,0.0113904281,0.0074498266,-0.003578332,0.0092073675,0.0047496581,0.024467408,0.0019591485,0.0230360615,0.0234161308,0.0399959406,1
1998-05-01,-0.067629207,-0.023858769,-0.036654189,-0.020889229,-0.036639662,0.0022131713,-0.000614036,-0.029796302,-0.022753093,-0.039246872,1
1998-06-01,0.0440957321,0.0586708867,0.0133001147,0.022283996,0.0398133125,0.0056419756,0.0832896379,0.0078167723,0.0288786229,-0.001968774,1
1998-07-01,-0.010134985,-0.017825846,0.0089975755,-0.009282123,-0.020924286,-0.013250226,-0.067272219,-0.028368008,-0.076129934,-0.096690857,1
1998-08-01,-0.183173274,-0.158691002,-0.126902725,-0.136026048,-0.165941808,-0.126668993,-0.145322889,-0.160561608,-0.18594682,-0.253275473,1
1998-09-01,0.0674167018,0.0431866145,0.0665332383,0.0976615778,0.1076159378,0.056820404,0.0546738122,0.0713864551,0.0150524995,0.0858124032,1
1998-10-01,0.0404946506,0.0468996002,0.0490832605,0.045857271,0.0695129327,0.0570907653,0.100896951,0.15217692,0.1245010833,0.2026376525,1
1998-11-01,0.0549930374,0.0532941504,0.0733495905,0.0603027802,0.0597789355,0.0781576011,0.0438739613,0.0715230036,0.0552670562,0.0882279932,1
1998-12-01,0.1318558738,0.0648859871,0.0631853408,0.0730642877,0.023769588,0.0710489017,0.0778335966,0.0475191125,0.069013156,0.0399111512,1
1999-01-01,0.1264809588,0.0635839669,0.0370999561,-0.003938769,0.0088618998,-0.011568775,0.0089531333,-0.023589403,0.0304473408,0.0252870562,1
1999-02-01,-0.092779403,-0.027286688,-0.016714899,-0.010508386,-0.024163837,-0.032268674,-0.01467377,0.0006771462,-0.035228296,-0.038417691,1
1999-03-01,0.0400660829,0.0302451041,0.0659009996,0.0224912436,0.0251548151,0.045847043,0.0280829593,0.0572471842,0.065970124,-0.003386098,1
1999-04-01,0.0253468848,0.0299833145,0.0369159519,0.0550038645,0.0653675675,0.0248107695,0.1086974959,0.0774539224,0.059987813,0.0632351153,1
1999-05-01,-0.084927118,-0.035266905,-0.003694183,-0.012138501,-0.016244167,-0.016816124,-0.033686753,-0.031636163,-0.015270774,-0.008237101,1
1999-06-01,0.0574428505,0.063772324,0.0241092434,-0.000839817,0.0428394857,0.0263829869,0.0407021242,0.0844909854,0.072410714,0.063805811,1
1999-07-01,-0.027893197,-0.056699392,-0.014159248,-0.035629574,-0.031599597,-0.04301192,-0.03937187,0.0099586741,-0.034303079,-0.056805554,1
1999-08-01,0.0816160199,-0.015412332,-0.019498311,-0.003958174,-0.047634854,-0.006581538,-0.000787805,-0.012925631,-0.023129251,-0.042566993,1
1999-09-01,-0.035283999,0.004359561,-0.047039495,-0.031996349,-0.005834817,-0.021704877,-0.04240686,-0.029190923,0.0045049431,-0.029096163,1
1999-10-01,0.095366245,0.0762925637,0.0600271685,0.0834732212,0.0271385644,0.0812002455,0.0656791322,0.0544757236,0.0330108914,0.0935957636,1
1999-11-01,0.0326507841,-0.003993699,0.0727860985,0.0235998898,0.0634035386,0.048326245,0.0524903174,0.0586173165,0.0987535316,0.0749013819,1
1999-12-01,0.2378575712,0.081164265,0.0977405782,0.0231305127,0.0471835632,0.0723248915,0.0536000878,-0.014262561,-0.008256812,0.0232654796,1
2000-01-01,-0.071544403,-0.078753324,-0.00377566,-0.033618745,-0.039719457,-0.036368342,-0.049805388,-0.038475168,-0.003336065,0.0224298506,1
2000-02-01,0.1465066149,0.1279782832,0.0085628733,-0.026990189,-0.020824817,-0.039902823,0.0293666182,-0.005794302,-0.019230198,0.0362938945,1
2000-03-01,-0.055823477,0.0735586122,0.097516657,0.076022196,0.0690089761,0.0998643734,0.1216670918,0.089303331,0.1219359402,0.1165525318,1
2000-04-01,-0.080443793,-0.035457268,-0.095567125,-0.041656735,0.0040485855,-0.016162063,-0.033045305,-0.038786407,-0.06009585,-0.173861527,1
2000-05-01,-0.017423757,-0.024131944,0.0118410339,0.020888301,-0.025908309,0.0039321068,-0.011833761,-0.013665325,-0.091138846,-0.151013067,1
2000-06-01,-0.01479734,-0.022562366,0.0178135973,-0.010651619,0.0257325984,0.0408978498,0.0170867362,0.1249909373,0.1086586299,0.1465627193,1
2000-07-01,-0.057488929,-0.025478023,-0.034558981,-0.029783174,-0.024789663,0.0348869657,0.0115126084,0.0032796612,0.0174524755,0.0079796617,1
2000-08-01,0.1181422731,0.0780036263,0.0854732465,0.0587806722,0.0255362153,0.0831008964,0.1133364467,0.0254282318,0.094127448,0.0997771094,1
2000-09-01,-0.061045622,-0.065940883,-0.108420079,-0.024490587,-0.029890679,0.0065953262,-0.057645846,0.0268307357,-0.035450454,-0.011639365,1
2000-10-01,0.0001891113,-0.005187729,0.0506995765,-0.018344835,-0.034545567,-0.040665344,-0.022928411,-0.057425367,-0.042325059,-0.060916543,1
2000-11-01,-0.044149162,-0.05904383,-0.036441034,-0.058272026,-0.056388097,-0.078964549,-0.106798422,-0.154667623,-0.182389886,-0.290791892,1
